TransactionID,AccountID,TransactionFrequency,LastTransactionDate
TRANS00001,ACC00001,Frequently,2023-08-05
TRANS00002,ACC00002,Frequently,2023-01-31
TRANS00003,ACC00003,Frequently,2023-03-16
TRANS00004,ACC00004,Occasionally,2023-10-27
TRANS00005,ACC00005,Very Frequently,2023-12-07
TRANS00006,ACC00006,Frequently,2023-08-20
TRANS00007,ACC00007,Rarely,2023-11-08
TRANS00008,ACC00008,Rarely,2023-01-16
TRANS00009,ACC00009,Rarely,2023-04-07
TRANS00010,ACC00010,Rarely,2023-10-01
TRANS00011,ACC00011,Frequently,2023-02-16
TRANS00012,ACC00012,Frequently,2023-10-21
TRANS00013,ACC00013,Rarely,2023-07-05
TRANS00014,ACC00014,Rarely,2023-04-23
TRANS00015,ACC00015,Very Frequently,2023-04-08
TRANS00016,ACC00016,Frequently,2023-01-30
TRANS00017,ACC00017,Rarely,2023-01-06
TRANS00018,ACC00018,Very Frequently,2023-10-23
TRANS00019,ACC00019,Occasionally,2023-09-30
TRANS00020,ACC00020,Occasionally,2023-11-06
TRANS00021,ACC00021,Very Frequently,2023-07-25
TRANS00022,ACC00022,Occasionally,2023-09-28
TRANS00023,ACC00023,Very Frequently,2023-09-20
TRANS00024,ACC00024,Rarely,2023-04-03
TRANS00025,ACC00025,Occasionally,2023-06-16
TRANS00026,ACC00026,Rarely,2023-06-23
TRANS00027,ACC00027,Rarely,2023-10-19
TRANS00028,ACC00028,Frequently,2023-05-12
TRANS00029,ACC00029,Frequently,2023-06-22
TRANS00030,ACC00030,Frequently,2023-12-23
TRANS00031,ACC00031,Rarely,2023-05-17
TRANS00032,ACC00032,Very Frequently,2023-07-01
TRANS00033,ACC00033,Very Frequently,2023-03-13
TRANS00034,ACC00034,Very Frequently,2023-07-26
TRANS00035,ACC00035,Frequently,2023-07-21
TRANS00036,ACC00036,Rarely,2023-06-02
TRANS00037,ACC00037,Frequently,2023-04-01
TRANS00038,ACC00038,Occasionally,2023-07-15
TRANS00039,ACC00039,Rarely,2023-11-30
TRANS00040,ACC00040,Frequently,2023-02-11
TRANS00041,ACC00041,Frequently,2023-10-05
TRANS00042,ACC00042,Frequently,2023-08-06
TRANS00043,ACC00043,Rarely,2023-12-30
TRANS00044,ACC00044,Rarely,2023-07-10
TRANS00045,ACC00045,Rarely,2023-08-02
TRANS00046,ACC00046,Very Frequently,2023-10-13
TRANS00047,ACC00047,Occasionally,2023-04-08
TRANS00048,ACC00048,Rarely,2023-08-31
TRANS00049,ACC00049,Rarely,2023-01-10
TRANS00050,ACC00050,Very Frequently,2023-02-13
TRANS00051,ACC00051,Very Frequently,2023-11-02
TRANS00052,ACC00052,Occasionally,2023-11-02
TRANS00053,ACC00053,Frequently,2023-06-13
TRANS00054,ACC00054,Frequently,2023-07-10
TRANS00055,ACC00055,Occasionally,2023-06-08
TRANS00056,ACC00056,Very Frequently,2023-12-03
TRANS00057,ACC00057,Rarely,2023-08-13
TRANS00058,ACC00058,Occasionally,2023-06-10
TRANS00059,ACC00059,Rarely,2023-03-19
TRANS00060,ACC00060,Occasionally,2023-10-24
TRANS00061,ACC00061,Rarely,2023-05-15
TRANS00062,ACC00062,Occasionally,2023-05-13
TRANS00063,ACC00063,Frequently,2023-01-16
TRANS00064,ACC00064,Occasionally,2023-02-27
TRANS00065,ACC00065,Occasionally,2023-12-12
TRANS00066,ACC00066,Occasionally,2023-03-28
TRANS00067,ACC00067,Frequently,2023-11-21
TRANS00068,ACC00068,Occasionally,2023-12-02
TRANS00069,ACC00069,Frequently,2023-10-11
TRANS00070,ACC00070,Occasionally,2023-08-08
TRANS00071,ACC00071,Rarely,2023-06-10
TRANS00072,ACC00072,Very Frequently,2023-01-25
TRANS00073,ACC00073,Occasionally,2023-10-31
TRANS00074,ACC00074,Frequently,2023-11-04
TRANS00075,ACC00075,Frequently,2023-12-28
TRANS00076,ACC00076,Occasionally,2023-04-10
TRANS00077,ACC00077,Rarely,2023-05-21
TRANS00078,ACC00078,Rarely,2023-06-12
TRANS00079,ACC00079,Frequently,2023-11-29
TRANS00080,ACC00080,Very Frequently,2023-12-17
TRANS00081,ACC00081,Rarely,2023-12-09
TRANS00082,ACC00082,Rarely,2023-11-17
TRANS00083,ACC00083,Frequently,2023-06-24
TRANS00084,ACC00084,Occasionally,2023-03-14
TRANS00085,ACC00085,Rarely,2023-05-14
TRANS00086,ACC00086,Rarely,2023-04-30
TRANS00087,ACC00087,Rarely,2023-07-12
TRANS00088,ACC00088,Occasionally,2023-06-27
TRANS00089,ACC00089,Frequently,2023-11-12
TRANS00090,ACC00090,Occasionally,2023-04-10
TRANS00091,ACC00091,Frequently,2023-04-17
TRANS00092,ACC00092,Rarely,2023-07-29
TRANS00093,ACC00093,Rarely,2023-03-22
TRANS00094,ACC00094,Very Frequently,2023-01-25
TRANS00095,ACC00095,Very Frequently,2023-11-17
TRANS00096,ACC00096,Rarely,2023-11-01
TRANS00097,ACC00097,Frequently,2023-11-03
TRANS00098,ACC00098,Rarely,2023-01-23
TRANS00099,ACC00099,Occasionally,2023-08-01
TRANS00100,ACC00100,Occasionally,2023-05-19
TRANS00101,ACC00101,Occasionally,2023-07-21
TRANS00102,ACC00102,Rarely,2023-05-06
TRANS00103,ACC00103,Frequently,2023-03-15
TRANS00104,ACC00104,Very Frequently,2023-11-23
TRANS00105,ACC00105,Very Frequently,2023-01-23
TRANS00106,ACC00106,Frequently,2023-03-23
TRANS00107,ACC00107,Very Frequently,2023-12-16
TRANS00108,ACC00108,Very Frequently,2023-06-01
TRANS00109,ACC00109,Rarely,2024-01-01
TRANS00110,ACC00110,Very Frequently,2023-10-05
TRANS00111,ACC00111,Frequently,2023-06-13
TRANS00112,ACC00112,Very Frequently,2023-10-24
TRANS00113,ACC00113,Very Frequently,2023-07-10
TRANS00114,ACC00114,Very Frequently,2023-10-16
TRANS00115,ACC00115,Very Frequently,2023-02-20
TRANS00116,ACC00116,Occasionally,2023-08-26
TRANS00117,ACC00117,Very Frequently,2023-08-15
TRANS00118,ACC00118,Very Frequently,2023-09-29
TRANS00119,ACC00119,Occasionally,2023-05-27
TRANS00120,ACC00120,Very Frequently,2023-05-16
TRANS00121,ACC00121,Frequently,2023-01-01
TRANS00122,ACC00122,Frequently,2023-02-16
TRANS00123,ACC00123,Very Frequently,2023-11-26
TRANS00124,ACC00124,Occasionally,2023-08-11
TRANS00125,ACC00125,Very Frequently,2023-07-19
TRANS00126,ACC00126,Rarely,2023-08-11
TRANS00127,ACC00127,Rarely,2023-07-12
TRANS00128,ACC00128,Rarely,2023-06-09
TRANS00129,ACC00129,Very Frequently,2023-02-21
TRANS00130,ACC00130,Rarely,2023-07-08
TRANS00131,ACC00131,Very Frequently,2023-03-04
TRANS00132,ACC00132,Rarely,2023-12-08
TRANS00133,ACC00133,Very Frequently,2023-08-22
TRANS00134,ACC00134,Rarely,2023-04-15
TRANS00135,ACC00135,Frequently,2023-10-02
TRANS00136,ACC00136,Occasionally,2023-11-17
TRANS00137,ACC00137,Very Frequently,2023-03-21
TRANS00138,ACC00138,Rarely,2023-05-26
TRANS00139,ACC00139,Frequently,2023-06-16
TRANS00140,ACC00140,Frequently,2023-01-04
TRANS00141,ACC00141,Rarely,2023-07-09
TRANS00142,ACC00142,Frequently,2023-07-27
TRANS00143,ACC00143,Very Frequently,2023-12-30
TRANS00144,ACC00144,Frequently,2023-06-22
TRANS00145,ACC00145,Frequently,2023-05-16
TRANS00146,ACC00146,Frequently,2023-09-13
TRANS00147,ACC00147,Frequently,2023-11-13
TRANS00148,ACC00148,Occasionally,2023-08-23
TRANS00149,ACC00149,Rarely,2023-04-23
TRANS00150,ACC00150,Very Frequently,2023-09-08
TRANS00151,ACC00151,Occasionally,2023-01-14
TRANS00152,ACC00152,Very Frequently,2023-08-14
TRANS00153,ACC00153,Frequently,2023-06-05
TRANS00154,ACC00154,Occasionally,2023-07-17
TRANS00155,ACC00155,Occasionally,2023-05-08
TRANS00156,ACC00156,Frequently,2023-03-24
TRANS00157,ACC00157,Very Frequently,2023-02-24
TRANS00158,ACC00158,Frequently,2023-08-12
TRANS00159,ACC00159,Very Frequently,2023-04-11
TRANS00160,ACC00160,Frequently,2023-12-16
TRANS00161,ACC00161,Very Frequently,2023-09-03
TRANS00162,ACC00162,Frequently,2023-08-23
TRANS00163,ACC00163,Rarely,2023-02-19
TRANS00164,ACC00164,Frequently,2023-12-22
TRANS00165,ACC00165,Rarely,2023-07-22
TRANS00166,ACC00166,Very Frequently,2023-08-17
TRANS00167,ACC00167,Occasionally,2023-04-02
TRANS00168,ACC00168,Frequently,2023-09-17
TRANS00169,ACC00169,Frequently,2023-05-31
TRANS00170,ACC00170,Rarely,2023-11-12
TRANS00171,ACC00171,Frequently,2023-08-22
TRANS00172,ACC00172,Very Frequently,2023-04-04
TRANS00173,ACC00173,Frequently,2023-08-21
TRANS00174,ACC00174,Occasionally,2023-07-18
TRANS00175,ACC00175,Very Frequently,2023-01-17
TRANS00176,ACC00176,Very Frequently,2023-06-28
TRANS00177,ACC00177,Rarely,2023-02-07
TRANS00178,ACC00178,Occasionally,2023-04-20
TRANS00179,ACC00179,Occasionally,2023-11-12
TRANS00180,ACC00180,Rarely,2023-12-19
TRANS00181,ACC00181,Frequently,2023-03-16
TRANS00182,ACC00182,Rarely,2023-08-01
TRANS00183,ACC00183,Frequently,2023-10-19
TRANS00184,ACC00184,Rarely,2023-07-21
TRANS00185,ACC00185,Occasionally,2023-08-21
TRANS00186,ACC00186,Rarely,2023-08-19
TRANS00187,ACC00187,Frequently,2023-09-03
TRANS00188,ACC00188,Rarely,2023-06-18
TRANS00189,ACC00189,Very Frequently,2023-10-15
TRANS00190,ACC00190,Very Frequently,2023-01-23
TRANS00191,ACC00191,Frequently,2023-04-08
TRANS00192,ACC00192,Frequently,2023-09-11
TRANS00193,ACC00193,Rarely,2023-08-06
TRANS00194,ACC00194,Frequently,2023-03-08
TRANS00195,ACC00195,Occasionally,2023-10-06
TRANS00196,ACC00196,Frequently,2023-01-15
TRANS00197,ACC00197,Very Frequently,2023-07-30
TRANS00198,ACC00198,Frequently,2023-09-14
TRANS00199,ACC00199,Occasionally,2023-07-07
TRANS00200,ACC00200,Rarely,2023-01-06
TRANS00201,ACC00201,Occasionally,2023-04-04
TRANS00202,ACC00202,Occasionally,2023-04-13
TRANS00203,ACC00203,Very Frequently,2023-08-22
TRANS00204,ACC00204,Frequently,2023-04-07
TRANS00205,ACC00205,Occasionally,2023-02-27
TRANS00206,ACC00206,Occasionally,2023-01-20
TRANS00207,ACC00207,Very Frequently,2023-12-02
TRANS00208,ACC00208,Rarely,2023-09-27
TRANS00209,ACC00209,Very Frequently,2023-09-15
TRANS00210,ACC00210,Very Frequently,2023-01-19
TRANS00211,ACC00211,Occasionally,2023-04-08
TRANS00212,ACC00212,Frequently,2023-11-18
TRANS00213,ACC00213,Rarely,2023-12-06
TRANS00214,ACC00214,Frequently,2023-03-11
TRANS00215,ACC00215,Rarely,2023-01-29
TRANS00216,ACC00216,Rarely,2023-01-10
TRANS00217,ACC00217,Rarely,2023-06-25
TRANS00218,ACC00218,Rarely,2023-11-28
TRANS00219,ACC00219,Very Frequently,2023-01-01
TRANS00220,ACC00220,Very Frequently,2023-07-07
TRANS00221,ACC00221,Very Frequently,2023-08-29
TRANS00222,ACC00222,Very Frequently,2023-05-19
TRANS00223,ACC00223,Occasionally,2023-09-21
TRANS00224,ACC00224,Occasionally,2023-05-01
TRANS00225,ACC00225,Frequently,2023-01-12
TRANS00226,ACC00226,Rarely,2023-03-18
TRANS00227,ACC00227,Very Frequently,2023-07-27
TRANS00228,ACC00228,Rarely,2023-11-22
TRANS00229,ACC00229,Very Frequently,2023-03-25
TRANS00230,ACC00230,Rarely,2023-08-30
TRANS00231,ACC00231,Very Frequently,2023-06-03
TRANS00232,ACC00232,Occasionally,2023-12-12
TRANS00233,ACC00233,Frequently,2023-11-26
TRANS00234,ACC00234,Frequently,2023-09-19
TRANS00235,ACC00235,Frequently,2023-06-28
TRANS00236,ACC00236,Occasionally,2023-11-13
TRANS00237,ACC00237,Occasionally,2023-07-30
TRANS00238,ACC00238,Rarely,2023-12-02
TRANS00239,ACC00239,Very Frequently,2023-11-20
TRANS00240,ACC00240,Rarely,2023-03-30
TRANS00241,ACC00241,Very Frequently,2023-09-01
TRANS00242,ACC00242,Rarely,2023-04-05
TRANS00243,ACC00243,Occasionally,2023-05-03
TRANS00244,ACC00244,Very Frequently,2023-01-10
TRANS00245,ACC00245,Rarely,2023-10-24
TRANS00246,ACC00246,Occasionally,2023-06-01
TRANS00247,ACC00247,Very Frequently,2023-12-30
TRANS00248,ACC00248,Very Frequently,2023-02-25
TRANS00249,ACC00249,Rarely,2023-08-09
TRANS00250,ACC00250,Frequently,2023-10-26
TRANS00251,ACC00251,Rarely,2023-11-18
TRANS00252,ACC00252,Occasionally,2023-12-04
TRANS00253,ACC00253,Occasionally,2023-04-03
TRANS00254,ACC00254,Frequently,2023-12-31
TRANS00255,ACC00255,Rarely,2023-05-30
TRANS00256,ACC00256,Rarely,2023-03-17
TRANS00257,ACC00257,Rarely,2023-09-07
TRANS00258,ACC00258,Occasionally,2023-07-19
TRANS00259,ACC00259,Rarely,2023-08-15
TRANS00260,ACC00260,Frequently,2023-10-20
TRANS00261,ACC00261,Frequently,2023-10-04
TRANS00262,ACC00262,Very Frequently,2023-10-27
TRANS00263,ACC00263,Occasionally,2023-08-24
TRANS00264,ACC00264,Frequently,2023-09-19
TRANS00265,ACC00265,Rarely,2023-05-27
TRANS00266,ACC00266,Very Frequently,2023-08-14
TRANS00267,ACC00267,Frequently,2023-06-29
TRANS00268,ACC00268,Rarely,2023-11-21
TRANS00269,ACC00269,Occasionally,2023-08-10
TRANS00270,ACC00270,Very Frequently,2023-02-25
TRANS00271,ACC00271,Very Frequently,2023-07-08
TRANS00272,ACC00272,Very Frequently,2023-06-27
TRANS00273,ACC00273,Occasionally,2023-11-10
TRANS00274,ACC00274,Very Frequently,2023-04-27
TRANS00275,ACC00275,Rarely,2023-11-17
TRANS00276,ACC00276,Rarely,2023-10-26
TRANS00277,ACC00277,Frequently,2023-09-23
TRANS00278,ACC00278,Very Frequently,2023-09-05
TRANS00279,ACC00279,Rarely,2023-07-29
TRANS00280,ACC00280,Occasionally,2023-07-12
TRANS00281,ACC00281,Rarely,2023-10-04
TRANS00282,ACC00282,Occasionally,2023-02-02
TRANS00283,ACC00283,Rarely,2023-12-26
TRANS00284,ACC00284,Very Frequently,2023-02-19
TRANS00285,ACC00285,Frequently,2023-01-14
TRANS00286,ACC00286,Frequently,2023-06-06
TRANS00287,ACC00287,Occasionally,2023-09-17
TRANS00288,ACC00288,Frequently,2023-08-20
TRANS00289,ACC00289,Very Frequently,2023-07-03
TRANS00290,ACC00290,Occasionally,2023-08-01
TRANS00291,ACC00291,Very Frequently,2023-05-01
TRANS00292,ACC00292,Frequently,2023-09-12
TRANS00293,ACC00293,Frequently,2023-05-14
TRANS00294,ACC00294,Rarely,2023-08-03
TRANS00295,ACC00295,Very Frequently,2023-04-07
TRANS00296,ACC00296,Very Frequently,2023-12-05
TRANS00297,ACC00297,Frequently,2023-08-20
TRANS00298,ACC00298,Occasionally,2023-06-23
TRANS00299,ACC00299,Very Frequently,2023-03-05
TRANS00300,ACC00300,Rarely,2023-01-10
TRANS00301,ACC00301,Occasionally,2023-10-12
TRANS00302,ACC00302,Occasionally,2023-04-22
TRANS00303,ACC00303,Very Frequently,2023-12-14
TRANS00304,ACC00304,Frequently,2023-07-30
TRANS00305,ACC00305,Very Frequently,2023-03-21
TRANS00306,ACC00306,Very Frequently,2023-02-23
TRANS00307,ACC00307,Very Frequently,2023-10-14
TRANS00308,ACC00308,Occasionally,2023-01-30
TRANS00309,ACC00309,Occasionally,2023-01-05
TRANS00310,ACC00310,Occasionally,2023-10-03
TRANS00311,ACC00311,Very Frequently,2023-08-30
TRANS00312,ACC00312,Very Frequently,2023-08-11
TRANS00313,ACC00313,Occasionally,2023-01-16
TRANS00314,ACC00314,Occasionally,2023-10-26
TRANS00315,ACC00315,Rarely,2023-07-10
TRANS00316,ACC00316,Occasionally,2023-12-16
TRANS00317,ACC00317,Frequently,2023-07-03
TRANS00318,ACC00318,Frequently,2023-11-06
TRANS00319,ACC00319,Frequently,2023-11-19
TRANS00320,ACC00320,Frequently,2023-07-31
TRANS00321,ACC00321,Very Frequently,2023-10-16
TRANS00322,ACC00322,Very Frequently,2023-09-21
TRANS00323,ACC00323,Occasionally,2023-10-17
TRANS00324,ACC00324,Occasionally,2023-03-07
TRANS00325,ACC00325,Occasionally,2023-09-11
TRANS00326,ACC00326,Occasionally,2023-07-02
TRANS00327,ACC00327,Frequently,2023-01-07
TRANS00328,ACC00328,Rarely,2023-10-24
TRANS00329,ACC00329,Frequently,2023-09-25
TRANS00330,ACC00330,Occasionally,2023-07-01
TRANS00331,ACC00331,Occasionally,2023-12-06
TRANS00332,ACC00332,Very Frequently,2023-01-27
TRANS00333,ACC00333,Very Frequently,2023-01-29
TRANS00334,ACC00334,Frequently,2023-08-14
TRANS00335,ACC00335,Rarely,2023-06-13
TRANS00336,ACC00336,Very Frequently,2023-10-19
TRANS00337,ACC00337,Occasionally,2023-10-25
TRANS00338,ACC00338,Frequently,2023-08-22
TRANS00339,ACC00339,Very Frequently,2023-01-15
TRANS00340,ACC00340,Frequently,2023-03-30
TRANS00341,ACC00341,Rarely,2023-08-06
TRANS00342,ACC00342,Frequently,2023-12-21
TRANS00343,ACC00343,Frequently,2023-09-08
TRANS00344,ACC00344,Very Frequently,2023-03-29
TRANS00345,ACC00345,Frequently,2023-05-01
TRANS00346,ACC00346,Very Frequently,2023-11-18
TRANS00347,ACC00347,Very Frequently,2023-06-29
TRANS00348,ACC00348,Very Frequently,2024-01-01
TRANS00349,ACC00349,Frequently,2023-03-26
TRANS00350,ACC00350,Very Frequently,2023-03-11
TRANS00351,ACC00351,Rarely,2023-01-11
TRANS00352,ACC00352,Rarely,2023-07-21
TRANS00353,ACC00353,Rarely,2023-03-26
TRANS00354,ACC00354,Rarely,2023-02-16
TRANS00355,ACC00355,Rarely,2023-02-22
TRANS00356,ACC00356,Very Frequently,2023-08-17
TRANS00357,ACC00357,Very Frequently,2023-08-03
TRANS00358,ACC00358,Occasionally,2023-09-06
TRANS00359,ACC00359,Frequently,2023-12-18
TRANS00360,ACC00360,Rarely,2023-01-29
TRANS00361,ACC00361,Frequently,2023-03-28
TRANS00362,ACC00362,Rarely,2023-06-29
TRANS00363,ACC00363,Rarely,2023-09-11
TRANS00364,ACC00364,Occasionally,2023-03-04
TRANS00365,ACC00365,Very Frequently,2023-10-21
TRANS00366,ACC00366,Rarely,2023-10-25
TRANS00367,ACC00367,Frequently,2023-10-16
TRANS00368,ACC00368,Rarely,2023-03-07
TRANS00369,ACC00369,Very Frequently,2023-08-29
TRANS00370,ACC00370,Very Frequently,2023-02-02
TRANS00371,ACC00371,Rarely,2023-01-22
TRANS00372,ACC00372,Occasionally,2023-05-29
TRANS00373,ACC00373,Very Frequently,2023-07-17
TRANS00374,ACC00374,Very Frequently,2023-02-26
TRANS00375,ACC00375,Frequently,2023-05-11
TRANS00376,ACC00376,Occasionally,2023-12-16
TRANS00377,ACC00377,Rarely,2023-05-15
TRANS00378,ACC00378,Very Frequently,2023-05-23
TRANS00379,ACC00379,Very Frequently,2023-07-04
TRANS00380,ACC00380,Occasionally,2023-02-09
TRANS00381,ACC00381,Frequently,2023-02-27
TRANS00382,ACC00382,Occasionally,2023-11-29
TRANS00383,ACC00383,Frequently,2023-03-17
TRANS00384,ACC00384,Rarely,2023-09-11
TRANS00385,ACC00385,Occasionally,2023-11-28
TRANS00386,ACC00386,Occasionally,2023-07-05
TRANS00387,ACC00387,Frequently,2023-11-14
TRANS00388,ACC00388,Rarely,2023-03-06
TRANS00389,ACC00389,Very Frequently,2023-10-13
TRANS00390,ACC00390,Occasionally,2023-01-11
TRANS00391,ACC00391,Very Frequently,2023-07-21
TRANS00392,ACC00392,Occasionally,2023-03-27
TRANS00393,ACC00393,Frequently,2023-11-25
TRANS00394,ACC00394,Very Frequently,2023-05-18
TRANS00395,ACC00395,Very Frequently,2023-08-23
TRANS00396,ACC00396,Rarely,2023-02-10
TRANS00397,ACC00397,Occasionally,2023-09-22
TRANS00398,ACC00398,Very Frequently,2023-06-20
TRANS00399,ACC00399,Very Frequently,2023-10-13
TRANS00400,ACC00400,Frequently,2023-07-03
TRANS00401,ACC00401,Rarely,2023-11-22
TRANS00402,ACC00402,Occasionally,2023-10-23
TRANS00403,ACC00403,Occasionally,2023-05-10
TRANS00404,ACC00404,Rarely,2023-04-06
TRANS00405,ACC00405,Very Frequently,2023-01-03
TRANS00406,ACC00406,Occasionally,2023-02-20
TRANS00407,ACC00407,Occasionally,2023-02-22
TRANS00408,ACC00408,Rarely,2023-04-23
TRANS00409,ACC00409,Frequently,2023-11-22
TRANS00410,ACC00410,Rarely,2023-08-28
TRANS00411,ACC00411,Very Frequently,2023-03-29
TRANS00412,ACC00412,Very Frequently,2023-05-09
TRANS00413,ACC00413,Rarely,2023-09-23
TRANS00414,ACC00414,Very Frequently,2023-11-06
TRANS00415,ACC00415,Frequently,2023-02-02
TRANS00416,ACC00416,Very Frequently,2024-01-01
TRANS00417,ACC00417,Very Frequently,2023-07-11
TRANS00418,ACC00418,Occasionally,2023-11-22
TRANS00419,ACC00419,Frequently,2023-06-06
TRANS00420,ACC00420,Very Frequently,2023-09-12
TRANS00421,ACC00421,Rarely,2023-01-26
TRANS00422,ACC00422,Occasionally,2023-07-24
TRANS00423,ACC00423,Rarely,2023-04-27
TRANS00424,ACC00424,Frequently,2023-01-08
TRANS00425,ACC00425,Frequently,2023-03-29
TRANS00426,ACC00426,Occasionally,2023-06-13
TRANS00427,ACC00427,Occasionally,2023-02-04
TRANS00428,ACC00428,Very Frequently,2023-06-28
TRANS00429,ACC00429,Very Frequently,2023-03-21
TRANS00430,ACC00430,Occasionally,2023-01-27
TRANS00431,ACC00431,Frequently,2023-05-14
TRANS00432,ACC00432,Frequently,2023-04-07
TRANS00433,ACC00433,Frequently,2023-03-14
TRANS00434,ACC00434,Very Frequently,2023-12-10
TRANS00435,ACC00435,Frequently,2023-07-13
TRANS00436,ACC00436,Very Frequently,2023-09-22
TRANS00437,ACC00437,Occasionally,2023-07-27
TRANS00438,ACC00438,Rarely,2023-06-20
TRANS00439,ACC00439,Rarely,2023-07-24
TRANS00440,ACC00440,Occasionally,2023-03-05
TRANS00441,ACC00441,Occasionally,2023-06-30
TRANS00442,ACC00442,Frequently,2023-10-18
TRANS00443,ACC00443,Very Frequently,2023-02-09
TRANS00444,ACC00444,Frequently,2023-02-10
TRANS00445,ACC00445,Frequently,2023-10-02
TRANS00446,ACC00446,Rarely,2023-05-21
TRANS00447,ACC00447,Very Frequently,2023-06-26
TRANS00448,ACC00448,Rarely,2023-03-18
TRANS00449,ACC00449,Occasionally,2023-09-09
TRANS00450,ACC00450,Occasionally,2023-02-15
TRANS00451,ACC00451,Occasionally,2023-04-29
TRANS00452,ACC00452,Very Frequently,2023-02-23
TRANS00453,ACC00453,Frequently,2023-02-05
TRANS00454,ACC00454,Very Frequently,2023-03-16
TRANS00455,ACC00455,Occasionally,2023-11-23
TRANS00456,ACC00456,Occasionally,2023-04-17
TRANS00457,ACC00457,Frequently,2023-07-11
TRANS00458,ACC00458,Frequently,2023-07-28
TRANS00459,ACC00459,Frequently,2023-09-22
TRANS00460,ACC00460,Frequently,2023-07-15
TRANS00461,ACC00461,Occasionally,2023-10-11
TRANS00462,ACC00462,Occasionally,2023-09-24
TRANS00463,ACC00463,Frequently,2023-07-09
TRANS00464,ACC00464,Rarely,2023-10-13
TRANS00465,ACC00465,Frequently,2023-10-26
TRANS00466,ACC00466,Frequently,2023-05-09
TRANS00467,ACC00467,Rarely,2023-01-30
TRANS00468,ACC00468,Rarely,2023-11-01
TRANS00469,ACC00469,Very Frequently,2023-06-12
TRANS00470,ACC00470,Frequently,2023-10-13
TRANS00471,ACC00471,Occasionally,2023-04-12
TRANS00472,ACC00472,Occasionally,2023-01-13
TRANS00473,ACC00473,Very Frequently,2023-04-04
TRANS00474,ACC00474,Rarely,2023-05-23
TRANS00475,ACC00475,Very Frequently,2023-07-01
TRANS00476,ACC00476,Rarely,2023-09-28
TRANS00477,ACC00477,Very Frequently,2023-10-30
TRANS00478,ACC00478,Rarely,2023-02-24
TRANS00479,ACC00479,Very Frequently,2023-11-04
TRANS00480,ACC00480,Frequently,2023-05-11
TRANS00481,ACC00481,Rarely,2023-06-08
TRANS00482,ACC00482,Rarely,2023-06-04
TRANS00483,ACC00483,Rarely,2023-08-27
TRANS00484,ACC00484,Frequently,2023-10-25
TRANS00485,ACC00485,Rarely,2023-01-01
TRANS00486,ACC00486,Very Frequently,2023-06-05
TRANS00487,ACC00487,Very Frequently,2023-08-28
TRANS00488,ACC00488,Occasionally,2023-06-01
TRANS00489,ACC00489,Frequently,2023-02-25
TRANS00490,ACC00490,Occasionally,2023-10-02
TRANS00491,ACC00491,Frequently,2023-07-10
TRANS00492,ACC00492,Frequently,2023-08-06
TRANS00493,ACC00493,Very Frequently,2023-12-04
TRANS00494,ACC00494,Occasionally,2023-12-10
TRANS00495,ACC00495,Occasionally,2023-11-01
TRANS00496,ACC00496,Rarely,2023-07-26
TRANS00497,ACC00497,Rarely,2023-10-21
TRANS00498,ACC00498,Rarely,2023-10-08
TRANS00499,ACC00499,Frequently,2023-05-23
TRANS00500,ACC00500,Very Frequently,2023-05-21
TRANS00501,ACC00501,Frequently,2023-10-19
TRANS00502,ACC00502,Very Frequently,2023-07-25
TRANS00503,ACC00503,Frequently,2023-05-21
